uprn,struprn,bduk_recognised_premises,country,postcode,lot_id,lot_name,subsidy_control_status,current_gigabit,future_gigabit,local_authority_district_ons_code,local_authority_district_ons,region_ons_code,region_ons,bduk_gis,bduk_gis_contract_scope,bduk_gis_final_coverage_date,bduk_gis_contract_name,bduk_gis_supplier,bduk_vouchers,bduk_vouchers_contract_name,bduk_vouchers_supplier,bduk_superfast,bduk_superfast_contract_name,bduk_superfast_supplier,bduk_hubs,bduk_hubs_contract_name,bduk_hubs_supplier
10013421832,str10013421832,TRUE,England,DE56 0AB,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030015492,TRUE,England,DE56 0NL,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030011901,TRUE,England,DE56 1ES,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030010773,TRUE,England,DE56 1TH,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030020335,TRUE,England,DE56 1TN,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10013426131,str10013426131,TRUE,England,DE7 6PF,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030031305,TRUE,England,DE75 7BZ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030037537,TRUE,England,NG16 4GQ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030039290,TRUE,England,DE5 3DE,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030001721,TRUE,England,DE55 1AJ,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030003674,TRUE,England,DE55 4BH,3,Derbyshire,Gigabit Grey/Black,TRUE,TRUE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030033517,TRUE,England,DE7 6EG,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
2E+11,str200000389339,TRUE,England,DE75 7BP,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
1.0003E+11,str100030038065,TRUE,England,DE5 3LH,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
10013420572,str10013420572,TRUE,England,DE5 3TR,3,Derbyshire,Gigabit Grey/Black,TRUE,FALSE,E07000032,Amber Valley,E12000004,East Midlands,FALSE,,,,,FALSE,,,FALSE,,,FALSE,,
